,name,count,prob,sex
176,THI,25.0,0.8,female
177,DODIE,8.0,1.0,female
178,MURRAY,72.0,0.96,male
179,GERTRUDIS,2.0,1.0,female
180,MARICA,48.0,1.0,female
181,MONROE,5.0,0.8,male
182,ROSALIND,83.0,1.0,female
183,PORTIA,77.0,1.0,female
184,CHASITY,50.0,1.0,female
185,WES,205.0,1.0,male
186,PETER,4373.0,1.0,male
187,BARTON,8.0,0.88,male
188,JACQUALINE,1.0,1.0,female
189,OSCAR,1650.0,0.99,male
190,JAMEL,26.0,0.69,male
191,TAWANDA,22.0,0.68,female
192,CORDELL,10.0,1.0,male
193,RONALD,755.0,1.0,male
194,LYNN,1144.0,0.96,female
195,VAN,224.0,0.7,male
196,ABE,76.0,0.96,male
197,VON,25.0,0.76,male
198,TAMMIE,90.0,1.0,female
199,KRISTIAN,379.0,0.94,male
200,STEPHANIE,4941.0,1.0,female
201,CARLO,423.0,0.99,male
202,ELEONORE,31.0,1.0,female
203,RUSSELL,513.0,1.0,male
204,MACK,63.0,0.97,male
205,COLLIN,125.0,1.0,male
206,QUENTIN,258.0,0.99,male
207,LOUANNE,5.0,1.0,female
208,CHANG,101.0,0.63,male
209,GABRIELLE,347.0,0.99,female
210,ALFREDIA,0.0,0.0,None
211,VIDA,47.0,0.98,female
212,WENDI,65.0,0.92,female
213,RENATA,342.0,0.99,female
214,BOYD,57.0,1.0,male
215,THERESSA,2.0,1.0,female
216,ALPHONSE,8.0,1.0,male
217,ISABELL,63.0,0.98,female
218,LEONIE,131.0,1.0,female
219,MILES,174.0,0.98,male
220,FRANCIS,680.0,0.89,male
221,VINA,37.0,0.97,female
222,GARY,2132.0,1.0,male
223,ALEISHA,24.0,1.0,female
224,JOSHUA,1570.0,0.99,male
225,LIONEL,223.0,0.99,male
226,LYDA,12.0,1.0,female
227,CORRIN,6.0,1.0,female
228,EDWIN,819.0,1.0,male
229,TIANNA,28.0,1.0,female
230,GERALD,429.0,0.99,male
231,VADA,3.0,1.0,female
232,DONNY,131.0,0.97,male
233,SHAKIRA,17.0,0.88,female
234,LORINDA,9.0,1.0,female
235,MOSE,3.0,1.0,male
236,JODY,457.0,0.69,female
237,MORRIS,49.0,1.0,male
238,SALLIE,44.0,1.0,female
239,TASIA,14.0,1.0,female
240,BUD,77.0,1.0,male
241,SHARI,220.0,1.0,female
242,JASON,4927.0,1.0,male
243,NAN,131.0,0.91,female
244,EFREN,45.0,1.0,male
245,GIDGET,5.0,0.8,female
246,MARCO,2493.0,0.99,male
247,KENDALL,224.0,0.53,male
248,MALISA,7.0,1.0,female
249,LETICIA,357.0,0.99,female
250,OTTO,92.0,1.0,male
251,LITA,58.0,0.98,female
252,GENEVA,24.0,1.0,female
253,SHANTELL,13.0,1.0,female
254,REINALDO,79.0,1.0,male
255,VITO,149.0,0.99,male
256,DAVIS,76.0,0.95,male
257,CURTIS,311.0,1.0,male
258,RASHAD,29.0,1.0,male
259,KAZUKO,7.0,1.0,female
260,BIANCA,684.0,1.0,female
261,ALEXANDRIA,129.0,0.99,female
262,KEVIN,5362.0,1.0,male
263,DEXTER,120.0,0.99,male
264,ORALIA,8.0,1.0,female
265,ROGELIO,98.0,1.0,male
266,KING,258.0,0.97,male
267,SHOSHANA,49.0,1.0,female
268,MONNIE,4.0,0.75,female
269,TRENT,237.0,1.0,male
270,KATELYNN,30.0,1.0,female
271,ZELDA,30.0,1.0,female
272,DWAIN,21.0,1.0,male
273,WINFRED,3.0,1.0,male
274,RAPHAEL,430.0,1.0,male
275,TIM,2949.0,0.99,male
