,name,count,prob,sex
774,ABDUL,430.0,1.0,male
775,GUS,165.0,0.98,male
776,EHTEL,0.0,0.0,None
777,WYNONA,2.0,1.0,female
778,NICHOLLE,7.0,1.0,female
779,CORALEE,5.0,1.0,female
780,CLIFF,199.0,0.99,male
781,LOYD,10.0,0.9,male
782,TIMOTHY,809.0,1.0,male
783,KRYSTLE,55.0,0.95,female
784,KYONG,0.0,0.0,None
785,JACOB,1309.0,1.0,male
786,DONOVAN,173.0,0.99,male
787,CARISSA,114.0,1.0,female
788,BARRETT,45.0,0.93,male
789,TONA,14.0,0.93,female
790,TONY,3071.0,1.0,male
791,MUOI,1.0,1.0,female
792,CHASE,306.0,0.96,male
793,BRITTNI,36.0,1.0,female
794,AURELIO,64.0,0.98,male
795,LUCILA,80.0,1.0,female
796,DELMER,1.0,1.0,male
797,VONNIE,10.0,1.0,female
798,MARILOU,49.0,1.0,female
799,ERMINIA,9.0,1.0,female
800,DARON,13.0,1.0,male
801,LANCE,382.0,0.98,male
802,KEVEN,56.0,0.95,male
803,MODESTO,8.0,1.0,male
804,MARITA,180.0,1.0,female
805,REYNALDA,0.0,0.0,None
806,CRISTOPHER,93.0,1.0,male
807,ROBIN,1628.0,0.59,female
808,CHAS,38.0,0.74,male
809,NOELLE,136.0,1.0,female
810,BURL,4.0,1.0,male
811,FELIPA,3.0,1.0,female
812,TELMA,50.0,1.0,female
813,SHAUN,709.0,0.98,male
814,SANORA,1.0,1.0,female
815,MERRILL,6.0,0.67,male
816,BENNIE,17.0,0.76,male
817,DARIO,456.0,1.0,male
818,LISETTE,84.0,1.0,female
819,OTIS,47.0,0.98,male
820,CALANDRA,2.0,1.0,female
821,OZELL,0.0,0.0,None
822,BRADLY,9.0,1.0,male
823,CARLENE,30.0,0.97,female
824,JEAN,1523.0,0.53,female
825,RICKIE,25.0,0.88,male
826,GABRIELE,255.0,0.79,male
827,STAN,258.0,0.97,male
828,LEAN,24.0,0.83,male
829,QUINCY,65.0,0.86,male
830,DAWN,1507.0,1.0,female
831,PENNIE,17.0,1.0,female
832,DANNIELLE,32.0,1.0,female
833,IVAN,1905.0,1.0,male
834,HIRAM,27.0,1.0,male
835,MORTON,5.0,1.0,male
836,SPENCER,334.0,0.99,male
837,GERALDO,40.0,0.98,male
838,RAELENE,19.0,1.0,female
839,CLAUD,6.0,0.83,male
840,STANTON,11.0,1.0,male
841,BYRON,209.0,1.0,male
842,LEROY,101.0,1.0,male
843,RANDY,1013.0,0.98,male
844,BARABARA,1.0,1.0,female
845,HIPOLITO,9.0,1.0,male
846,CURT,81.0,0.96,male
847,LEWIS,396.0,1.0,male
848,LASHAY,3.0,1.0,female
849,JOEY,865.0,0.8,male
850,EMERY,13.0,0.85,male
851,JASON,4927.0,1.0,male
852,JEFFREY,932.0,1.0,male
853,MALCOM,5.0,1.0,male
854,DUDLEY,22.0,0.95,male
855,DANA,1154.0,0.92,female
856,GLENNIE,4.0,1.0,female
857,LUPE,75.0,0.93,female
858,CASSIE,530.0,1.0,female
859,NIKI,237.0,0.88,female
860,JORDON,49.0,0.94,male
861,GAIL,814.0,1.0,female
862,CONSTANCE,120.0,0.99,female
863,CARLTON,38.0,1.0,male
864,KURTIS,68.0,1.0,male
865,ANGELA,3511.0,1.0,female
866,ADAM,3963.0,1.0,male
867,ANNALISA,156.0,1.0,female
868,HEIKE,48.0,0.98,female
869,EMMETT,21.0,1.0,male
870,MASON,148.0,0.98,male
871,TEODORA,45.0,1.0,female
872,ERWIN,185.0,0.98,male
873,KENT,297.0,1.0,male
874,MCKENZIE,63.0,0.87,female
875,CARLOS,5149.0,1.0,male
876,MILFORD,0.0,0.0,None
877,TRISTAN,331.0,0.95,male
878,KIRA,128.0,0.91,female
879,OPAL,16.0,1.0,female
880,ANGELIKA,74.0,1.0,female
881,DAMIAN,422.0,1.0,male
882,DORI,76.0,0.89,female
883,ALDO,275.0,1.0,male
884,JEAN,1523.0,0.53,female
885,SHAUN,709.0,0.98,male
886,DANNIE,25.0,0.76,female
887,NOAH,309.0,0.98,male
888,DARYL,272.0,0.92,male
889,GEORGANN,2.0,1.0,female
890,NORAH,40.0,1.0,female
891,LLOYD,159.0,0.99,male
892,LAWERENCE,1.0,1.0,male
893,JONATHAN,3702.0,1.0,male
894,GARLAND,8.0,0.75,male
895,KIRK,280.0,1.0,male
896,HAYLEY,856.0,1.0,female
897,MERLIN,26.0,0.58,male
898,CARMINE,100.0,0.98,male
899,TRINIDAD,27.0,0.85,female
900,SELENA,129.0,1.0,female
901,SETH,373.0,1.0,male
902,ROMEO,117.0,0.99,male
903,GLENDORA,24.0,1.0,female
904,SABRA,9.0,0.89,female
905,MAIA,134.0,0.99,female
906,ELSE,29.0,1.0,female
907,HANK,98.0,1.0,male
908,LAKEESHA,1.0,1.0,female
909,VIOLETTE,28.0,1.0,female
910,WALTON,2.0,1.0,male
911,ARNULFO,15.0,1.0,male
912,KATELIN,18.0,1.0,female
913,SHEENA,203.0,1.0,female
914,JOHNNY,955.0,0.99,male
915,SHEBA,10.0,1.0,female
916,MARSHALL,167.0,0.99,male
917,DOUG,891.0,1.0,male
918,MILAGROS,218.0,1.0,female
919,VIVAN,0.0,0.0,None
920,JAZMINE,43.0,1.0,female
921,FERNANDO,2012.0,1.0,male
922,ZACHERY,12.0,1.0,male
923,JONAS,630.0,1.0,male
924,ROXANNE,294.0,1.0,female
925,WM,11.0,0.82,male
926,DEAN,914.0,0.96,male
927,VINITA,21.0,1.0,female
928,MARTIN,3568.0,1.0,male
929,JOE,3713.0,0.98,male
930,LOVE,124.0,0.6,female
931,DONG,46.0,0.89,male
932,LINDSEY,849.0,0.98,female
933,ISREAL,2.0,1.0,male
934,NICKY,450.0,0.8,female
935,NGA,17.0,0.94,female
936,KILEY,22.0,0.91,female
937,DALTON,88.0,0.99,male
938,NAKESHA,0.0,0.0,None
939,GARNETT,4.0,1.0,male
940,SUNG,31.0,0.84,male
941,TONJA,19.0,1.0,female
942,HOSEA,4.0,1.0,male
943,BURTON,16.0,0.94,male
944,KITTY,280.0,0.99,female
945,CURTIS,311.0,1.0,male
946,JERI,85.0,0.94,female
947,YER,4.0,0.75,male
948,HOBERT,1.0,1.0,male
949,JEFFERY,148.0,1.0,male
950,ALEX,5856.0,0.87,male
951,CELESTINE,41.0,0.85,female
952,ODIS,1.0,1.0,male
953,ANGEL,1668.0,0.61,male
954,HARRIETTE,10.0,1.0,female
955,ALBERT,723.0,0.99,male
956,JULES,210.0,0.59,female
957,REX,146.0,1.0,male
958,SALVADOR,249.0,1.0,male
959,JULIETTA,2.0,1.0,female
960,CHAU,39.0,0.51,male
961,KRISTOFER,44.0,1.0,male
962,FRANCISCO,1513.0,1.0,male
963,TIFFANEY,5.0,1.0,female
964,RACHAL,11.0,1.0,female
965,TEGAN,89.0,1.0,female
966,ISOBEL,71.0,0.99,female
967,NESTOR,318.0,1.0,male
968,TEMPIE,0.0,0.0,None
969,CHIQUITA,8.0,0.88,female
970,COLLETTE,86.0,1.0,female
971,ARMAND,55.0,1.0,male
972,LASHELL,3.0,1.0,female
973,BRONWYN,87.0,1.0,female
974,NAOMI,498.0,0.99,female
975,MELISA,238.0,1.0,female
976,MERNA,13.0,1.0,female
977,STEPHANIA,34.0,1.0,female
978,NATHALIE,1096.0,1.0,female
979,SATURNINA,1.0,1.0,female
980,JOIE,26.0,0.77,female
981,JUSTIN,2871.0,1.0,male
982,MARIBEL,402.0,1.0,female
983,CANDANCE,2.0,1.0,female
984,JOSEFINE,83.0,1.0,female
985,OREN,64.0,0.95,male
986,ERROL,42.0,1.0,male
987,JESS,1010.0,0.91,female
988,MICHELL,35.0,0.86,female
989,BULA,2.0,1.0,female
990,MALISSA,17.0,1.0,female
991,NICK,3326.0,0.99,male
992,JARVIS,19.0,0.95,male
993,THANH,64.0,0.63,female
994,CLAIR,84.0,0.88,female
995,SHERRY,694.0,0.99,female
996,KENDA,5.0,1.0,female
997,GLORY,58.0,0.98,female
998,FILIBERTO,14.0,1.0,male
999,KIM,3561.0,0.88,female
